Code;Nom_commune;Code_postal;Zonage dentistes
01286;PARVES ET NATTAGES;01300;1_Tres_sous_dotee
01288;PERON;01630;1_Tres_sous_dotee
01289;PERONNAS;01960;1_Tres_sous_dotee
01290;PEROUGES;01800;1_Tres_sous_dotee
01291;PERREX;01540;1_Tres_sous_dotee
01293;PEYRIAT;01430;1_Tres_sous_dotee
01294;PEYRIEU;01300;1_Tres_sous_dotee
01295;PEYZIEUX SUR SAONE;01140;1_Tres_sous_dotee
01296;PIRAJOUX;01270;1_Tres_sous_dotee
01297;PIZAY;01120;1_Tres_sous_dotee
01298;PLAGNE;01130;1_Tres_sous_dotee
01299;LE PLANTAY;01330;2_Sous_dotee
01301;POLLIAT;01310;3_intermediaire
01302;POLLIEU;01350;1_Tres_sous_dotee
01303;PONCIN;01450;3_intermediaire
01304;PONT D AIN;01160;3_intermediaire
01305;PONT DE VAUX;01190;1_Tres_sous_dotee
01306;PONT DE VEYLE;01290;3_intermediaire
01307;PORT;01460;1_Tres_sous_dotee
01308;POUGNY;01550;3_intermediaire
01309;POUILLAT;01250;1_Tres_sous_dotee
01310;PREMEYZEL;01300;1_Tres_sous_dotee
01311;PREMILLIEU;01110;1_Tres_sous_dotee
01313;PREVESSIN MOENS;01280;3_intermediaire
01313;PREVESSIN MOENS;01280;3_intermediaire
01314;PRIAY;01160;3_intermediaire
01317;RAMASSE;01250;3_intermediaire
01318;RANCE;01390;3_intermediaire
01319;RELEVANT;01990;1_Tres_sous_dotee
01320;REPLONGES;01750;3_intermediaire
01321;REVONNAS;01250;3_intermediaire
01322;REYRIEUX;01600;3_intermediaire
01323;REYSSOUZE;01190;1_Tres_sous_dotee
01325;RIGNIEUX LE FRANC;01800;1_Tres_sous_dotee
01328;ROMANS;01400;1_Tres_sous_dotee
01329;ROSSILLON;01510;1_Tres_sous_dotee
01331;ST ALBAN;01450;3_intermediaire
01332;ST ANDRE DE BAGE;01380;3_intermediaire
01333;ST ANDRE DE CORCY;01390;2_Sous_dotee
01334;ST ANDRE D HUIRIAT;01290;3_intermediaire
01335;ST ANDRE LE BOUCHOUX;01240;1_Tres_sous_dotee
01336;ST ANDRE SUR VIEUX JONC;01960;1_Tres_sous_dotee
01337;ST BENIGNE;01190;1_Tres_sous_dotee
01338;GROSLEE ST BENOIT;01300;1_Tres_sous_dotee
01338;GROSLEE ST BENOIT;01300;1_Tres_sous_dotee
01339;ST BERNARD;01600;4_Tres_dotee
01342;STE CROIX;01120;1_Tres_sous_dotee
01343;ST CYR SUR MENTHON;01380;3_intermediaire
01344;ST DENIS LES BOURG;01000;3_intermediaire
01345;ST DENIS EN BUGEY;01500;3_intermediaire
01346;ST DIDIER D AUSSIAT;01340;1_Tres_sous_dotee
01347;ST DIDIER DE FORMANS;01600;3_intermediaire
01348;ST DIDIER SUR CHALARONNE;01140;1_Tres_sous_dotee
01349;ST ELOI;01800;1_Tres_sous_dotee
01350;ST ETIENNE DU BOIS;01370;3_intermediaire
01351;ST ETIENNE SUR CHALARONNE;01140;1_Tres_sous_dotee
01352;ST ETIENNE SUR REYSSOUZE;01190;1_Tres_sous_dotee
01353;STE EUPHEMIE;01600;3_intermediaire
01354;ST GENIS POUILLY;01630;3_intermediaire
01355;ST GENIS SUR MENTHON;01380;1_Tres_sous_dotee
01356;ST GEORGES SUR RENON;01400;1_Tres_sous_dotee
01357;ST GERMAIN DE JOUX;01130;1_Tres_sous_dotee
01358;ST GERMAIN LES PAROISSES;01300;1_Tres_sous_dotee
